001. Layer: model.model.0.conv, Output Shape: torch.Size([32, 1, 256, 256])
002. Layer: model.model.0.conv.unit0, Output Shape: torch.Size([32, 1, 256, 256])
003. Layer: model.model.0.conv.unit0.conv, Output Shape: torch.Size([32, 1, 256, 256])
004. Layer: model.model.0.conv.unit0.adn, Output Shape: torch.Size([32, 16, 128, 128])
005. Layer: model.model.0.conv.unit0.adn.N, Output Shape: torch.Size([32, 16, 128, 128])
006. Layer: model.model.0.conv.unit0.adn.D, Output Shape: torch.Size([32, 16, 128, 128])
007. Layer: model.model.0.conv.unit0.adn.A, Output Shape: torch.Size([32, 16, 128, 128])
008. Layer: model.model.0.conv.unit1, Output Shape: torch.Size([32, 16, 128, 128])
009. Layer: model.model.0.conv.unit1.conv, Output Shape: torch.Size([32, 16, 128, 128])
010. Layer: model.model.0.conv.unit1.adn, Output Shape: torch.Size([32, 16, 128, 128])
011. Layer: model.model.0.conv.unit1.adn.N, Output Shape: torch.Size([32, 16, 128, 128])
012. Layer: model.model.0.conv.unit1.adn.D, Output Shape: torch.Size([32, 16, 128, 128])
013. Layer: model.model.0.conv.unit1.adn.A, Output Shape: torch.Size([32, 16, 128, 128])
014. Layer: model.model.0.conv.unit2, Output Shape: torch.Size([32, 16, 128, 128])
015. Layer: model.model.0.conv.unit2.conv, Output Shape: torch.Size([32, 16, 128, 128])
016. Layer: model.model.0.conv.unit2.adn, Output Shape: torch.Size([32, 16, 128, 128])
017. Layer: model.model.0.conv.unit2.adn.N, Output Shape: torch.Size([32, 16, 128, 128])
018. Layer: model.model.0.conv.unit2.adn.D, Output Shape: torch.Size([32, 16, 128, 128])
019. Layer: model.model.0.conv.unit2.adn.A, Output Shape: torch.Size([32, 16, 128, 128])
020. Layer: model.model.0.conv.unit3, Output Shape: torch.Size([32, 16, 128, 128])
021. Layer: model.model.0.conv.unit3.conv, Output Shape: torch.Size([32, 16, 128, 128])
022. Layer: model.model.0.conv.unit3.adn, Output Shape: torch.Size([32, 16, 128, 128])
023. Layer: model.model.0.conv.unit3.adn.N, Output Shape: torch.Size([32, 16, 128, 128])
024. Layer: model.model.0.conv.unit3.adn.D, Output Shape: torch.Size([32, 16, 128, 128])
025. Layer: model.model.0.conv.unit3.adn.A, Output Shape: torch.Size([32, 16, 128, 128])
026. Layer: model.model.1.submodule.0.conv, Output Shape: torch.Size([32, 16, 128, 128])
027. Layer: model.model.1.submodule.0.conv.unit0, Output Shape: torch.Size([32, 16, 128, 128])
028. Layer: model.model.1.submodule.0.conv.unit0.conv, Output Shape: torch.Size([32, 16, 128, 128])
029. Layer: model.model.1.submodule.0.conv.unit0.adn, Output Shape: torch.Size([32, 32, 64, 64])
030. Layer: model.model.1.submodule.0.conv.unit0.adn.N, Output Shape: torch.Size([32, 32, 64, 64])
031. Layer: model.model.1.submodule.0.conv.unit0.adn.D, Output Shape: torch.Size([32, 32, 64, 64])
032. Layer: model.model.1.submodule.0.conv.unit0.adn.A, Output Shape: torch.Size([32, 32, 64, 64])
033. Layer: model.model.1.submodule.0.conv.unit1, Output Shape: torch.Size([32, 32, 64, 64])
034. Layer: model.model.1.submodule.0.conv.unit1.conv, Output Shape: torch.Size([32, 32, 64, 64])
035. Layer: model.model.1.submodule.0.conv.unit1.adn, Output Shape: torch.Size([32, 32, 64, 64])
036. Layer: model.model.1.submodule.0.conv.unit1.adn.N, Output Shape: torch.Size([32, 32, 64, 64])
037. Layer: model.model.1.submodule.0.conv.unit1.adn.D, Output Shape: torch.Size([32, 32, 64, 64])
